epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,776.476,1.28559,2.88656,1.47271,1.29149,0.53032,0.58587,0.56516,0.4273,0.46065,0.50569,0.42309,0.23106,1.33703,2.82188,1.80274,1.27905,0.000636762,0.000636762,0.000636762
58,789.797,1.27028,2.9909,1.50963,1.318,0.58514,0.53324,0.53365,0.39253,0.53679,0.4864,0.43701,0.2098,1.34816,2.7636,1.70795,1.27666,0.000622615,0.000622615,0.000622615
59,803.114,1.26624,2.96979,1.51111,1.30793,0.49391,0.59145,0.52766,0.42496,0.47981,0.48087,0.4415,0.25166,1.32793,2.72381,1.72891,1.26447,0.000608468,0.000608468,0.000608468
60,816.399,1.26693,2.88204,1.46023,1.2816,0.49086,0.61318,0.55185,0.42612,0.45574,0.51713,0.46355,0.24275,1.41001,2.74501,1.71274,1.2922,0.000594321,0.000594321,0.000594321
61,830.347,1.26883,2.9483,1.47362,1.28829,0.56392,0.52284,0.56323,0.45108,0.57689,0.4463,0.48069,0.26377,1.3905,2.68607,1.70317,1.28832,0.000580174,0.000580174,0.000580174
62,844.159,1.25926,2.88106,1.44691,1.27958,0.54744,0.553,0.54392,0.42986,0.50354,0.49033,0.45737,0.2543,1.33276,2.72002,1.6777,1.25682,0.000566027,0.000566027,0.000566027
63,857.507,1.2402,2.90296,1.44219,1.27533,0.51281,0.58626,0.52153,0.39918,0.4636,0.51038,0.43579,0.23945,1.34792,2.69029,1.75724,1.26677,0.00055188,0.00055188,0.00055188
64,870.846,1.25523,2.92136,1.43851,1.28635,0.48347,0.59478,0.51302,0.39383,0.46623,0.53176,0.44157,0.23533,1.3058,2.69993,1.73852,1.26029,0.000537733,0.000537733,0.000537733
65,884.763,1.21525,2.82003,1.40724,1.26171,0.51155,0.59954,0.55608,0.41443,0.49507,0.47463,0.443,0.22783,1.36206,2.69281,1.7242,1.26901,0.000523586,0.000523586,0.000523586
66,898.109,1.23845,2.82157,1.41093,1.27451,0.54005,0.52881,0.54681,0.42248,0.46809,0.47767,0.44729,0.24633,1.37908,2.75931,1.74148,1.28303,0.000509438,0.000509438,0.000509438
67,911.65,1.20525,2.82375,1.40338,1.25427,0.50638,0.62745,0.56036,0.42409,0.44899,0.55701,0.45687,0.25331,1.37251,2.79373,1.72593,1.26665,0.000495291,0.000495291,0.000495291
68,925.268,1.21049,2.80583,1.3992,1.26348,0.54027,0.57164,0.55541,0.42828,0.52159,0.47565,0.46291,0.24952,1.31624,2.75444,1.69857,1.25073,0.000481144,0.000481144,0.000481144
69,938.71,1.21197,2.75061,1.37108,1.24978,0.42414,0.56867,0.49033,0.38122,0.40077,0.49658,0.39796,0.20221,1.36343,2.83361,1.72562,1.26719,0.000466997,0.000466997,0.000466997
70,952.702,1.20291,2.81197,1.37477,1.2394,0.55871,0.56061,0.53445,0.42238,0.50345,0.49985,0.43669,0.2397,1.31882,2.73562,1.658,1.25336,0.00045285,0.00045285,0.00045285
71,966.083,1.21277,2.77555,1.35045,1.23983,0.51721,0.55456,0.52423,0.42722,0.475,0.50371,0.4316,0.24775,1.2851,2.78387,1.75884,1.24488,0.000438703,0.000438703,0.000438703
72,979.379,1.20606,2.72471,1.37871,1.24708,0.50231,0.61434,0.51229,0.39983,0.45129,0.55538,0.41859,0.22897,1.34925,2.79196,1.81089,1.26287,0.000424556,0.000424556,0.000424556
73,992.819,1.20087,2.73091,1.34217,1.24809,0.489,0.63856,0.54419,0.4303,0.53381,0.50377,0.4425,0.24809,1.32033,2.81718,1.70421,1.24291,0.000410409,0.000410409,0.000410409
74,1006.17,1.17343,2.71103,1.32981,1.22937,0.49199,0.59391,0.51667,0.39658,0.43178,0.5353,0.41834,0.22293,1.35919,2.86064,1.83913,1.27867,0.000396262,0.000396262,0.000396262
75,1020.17,1.18668,2.75453,1.33087,1.23536,0.52788,0.6069,0.55597,0.43972,0.49389,0.52347,0.46932,0.26216,1.31957,2.80769,1.66826,1.2561,0.000382115,0.000382115,0.000382115
76,1033.49,1.17444,2.73732,1.30171,1.229,0.53144,0.55498,0.53821,0.42011,0.46147,0.48101,0.42874,0.24767,1.30283,2.82201,1.66126,1.25044,0.000367967,0.000367967,0.000367967
77,1046.87,1.16735,2.69064,1.30735,1.21986,0.51119,0.59855,0.52235,0.40679,0.46813,0.53289,0.42909,0.23994,1.30762,2.86373,1.70835,1.24906,0.00035382,0.00035382,0.00035382
78,1060.21,1.17966,2.7401,1.30191,1.23936,0.49226,0.62018,0.51994,0.40472,0.45345,0.57188,0.44193,0.24289,1.29684,2.75199,1.71623,1.23995,0.000339673,0.000339673,0.000339673
79,1073.6,1.17925,2.70068,1.30045,1.23379,0.48947,0.63589,0.54888,0.42665,0.43214,0.55489,0.44749,0.25705,1.34085,2.8049,1.69652,1.25451,0.000325526,0.000325526,0.000325526
80,1087.52,1.15384,2.63742,1.29232,1.22268,0.52543,0.63889,0.56402,0.45165,0.50335,0.57428,0.47112,0.2558,1.30986,2.81497,1.68495,1.25286,0.000311379,0.000311379,0.000311379
81,1100.87,1.15929,2.66398,1.27269,1.22306,0.52009,0.62953,0.54711,0.43647,0.47178,0.56822,0.4649,0.27008,1.28821,2.79373,1.67737,1.23426,0.000297232,0.000297232,0.000297232
82,1114.22,1.1625,2.67488,1.28366,1.23324,0.47843,0.63552,0.51305,0.41231,0.43099,0.56198,0.43516,0.25309,1.28233,2.80757,1.74078,1.23287,0.000283085,0.000283085,0.000283085
83,1127.54,1.13706,2.68517,1.25079,1.21088,0.47283,0.63029,0.52961,0.42618,0.41847,0.56845,0.44549,0.25824,1.31312,2.75324,1.67827,1.24636,0.000268938,0.000268938,0.000268938
84,1140.85,1.14856,2.6828,1.29013,1.2295,0.50558,0.55262,0.53193,0.43235,0.45222,0.48698,0.4316,0.25182,1.31008,2.78027,1.67119,1.24448,0.000254791,0.000254791,0.000254791
85,1154.81,1.14439,2.67314,1.25099,1.2269,0.55411,0.5147,0.52954,0.41011,0.51426,0.43102,0.44105,0.23769,1.33133,2.78142,1.71114,1.26136,0.000240644,0.000240644,0.000240644
86,1168.23,1.14096,2.59257,1.25253,1.22153,0.51391,0.61651,0.53923,0.42641,0.46665,0.5501,0.45303,0.26324,1.31314,2.84287,1.72163,1.25054,0.000226497,0.000226497,0.000226497
87,1181.71,1.12759,2.58252,1.2318,1.20837,0.54531,0.58368,0.56278,0.45574,0.4931,0.4953,0.47804,0.27394,1.30966,2.81515,1.68246,1.23603,0.000212349,0.000212349,0.000212349
88,1195.61,1.11271,2.62057,1.22535,1.20159,0.54413,0.581,0.5477,0.44572,0.49049,0.52321,0.47726,0.27692,1.29541,2.87559,1.70252,1.23727,0.000198202,0.000198202,0.000198202
89,1209.68,1.12506,2.58586,1.22712,1.20025,0.50658,0.5559,0.55312,0.44348,0.48109,0.50411,0.48272,0.27665,1.34232,2.86632,1.76449,1.25433,0.000184055,0.000184055,0.000184055
90,1222.98,1.1408,2.60936,1.23643,1.20937,0.5065,0.60858,0.54722,0.44094,0.4526,0.54461,0.46334,0.26518,1.3073,2.85724,1.73433,1.24307,0.000169908,0.000169908,0.000169908
91,1237.41,1.20363,2.50299,1.27978,1.21089,0.49193,0.64588,0.5366,0.43026,0.44686,0.58546,0.4486,0.25905,1.31052,2.8876,1.75938,1.24853,0.000155761,0.000155761,0.000155761
92,1250.55,1.19603,2.45336,1.23251,1.20632,0.50076,0.64005,0.57034,0.46508,0.45311,0.58314,0.48095,0.27271,1.29636,2.83946,1.66706,1.23129,0.000141614,0.000141614,0.000141614
93,1264.81,1.1878,2.47641,1.18937,1.20267,0.50511,0.64832,0.56888,0.45975,0.45329,0.58435,0.47862,0.2737,1.31603,2.85151,1.65704,1.23681,0.000127467,0.000127467,0.000127467
94,1277.97,1.20061,2.45499,1.21694,1.20539,0.54223,0.60574,0.55041,0.44675,0.48931,0.55228,0.45943,0.27094,1.33938,2.89799,1.707,1.24724,0.00011332,0.00011332,0.00011332
95,1291.73,1.15889,2.41133,1.15411,1.1827,0.56313,0.59935,0.56308,0.45905,0.50709,0.54006,0.47106,0.28215,1.28388,2.8592,1.68837,1.22745,9.91726e-05,9.91726e-05,9.91726e-05
96,1305.33,1.17989,2.4225,1.15567,1.18906,0.57924,0.58495,0.57745,0.47555,0.52941,0.52763,0.48594,0.289,1.29789,2.89682,1.69267,1.23624,8.50255e-05,8.50255e-05,8.50255e-05
97,1318.94,1.19245,2.45274,1.18124,1.20928,0.53016,0.60022,0.57589,0.4707,0.4996,0.50879,0.46763,0.28061,1.29342,2.84767,1.68432,1.23141,7.08784e-05,7.08784e-05,7.08784e-05
98,1332.69,1.16011,2.4134,1.15824,1.18156,0.55246,0.59082,0.57666,0.47851,0.48896,0.52384,0.47356,0.28739,1.2732,2.88323,1.68057,1.21902,5.67313e-05,5.67313e-05,5.67313e-05
99,1345.83,1.16278,2.40683,1.14723,1.18633,0.55736,0.59447,0.57255,0.46438,0.5028,0.53191,0.47926,0.2843,1.3187,2.95274,1.70187,1.23996,4.25842e-05,4.25842e-05,4.25842e-05
100,1358.95,1.16443,2.38832,1.14085,1.18913,0.55334,0.59561,0.57341,0.46814,0.49019,0.52769,0.47059,0.28178,1.31346,2.90385,1.68688,1.23704,2.84371e-05,2.84371e-05,2.84371e-05
